Transaction ID,Patron ID,Book ID,Borrow Date,Due Date,Return Date,Fine Amount
1,101,201,01-10-2023,15-10-2023,15-10-2023,0
2,102,202,03-10-2023,15-10-2023,20-10-2023,25
3,103,203,05-10-2023,19-10-2023,10-11-2023,22
4,104,204,06-10-2023,20-10-2023,20-10-2023,0
5,105,201,07-10-2023,21-10-2023,18-10-2023,15
6,106,205,08-10-2023,22-10-2023,20-10-2023,0
7,101,206,10-10-2023,24-10-2023,20-10-2023,0
8,102,207,12-10-2023,26-10-2023,28-10-2023,10
9,103,208,14-10-2023,28-10-2023,16-10-2023,20
10,104,209,16-10-2023,30-10-2023,31-10-2023,1
11,105,210,18-10-2023,01-11-2023,20-10-2023,10
12,106,211,20-10-2023,03-11-2023,01-11-2023,0
13,101,212,22-10-2023,05-11-2023,27-10-2023,25
14,102,213,24-10-2023,07-11-2023,02-01-2024,57
15,103,214,26-10-2023,09-11-2023,08-11-2023,0
16,104,215,28-10-2023,11-11-2023,12-11-2023,1
17,105,216,30-10-2023,13-11-2023,10-11-2023,0
18,106,217,01-11-2023,15-11-2023,20-11-2023,5
19,101,218,03-11-2023,17-11-2023,20-11-2023,3
20,102,219,05-11-2023,19-11-2023,19-11-2023,0
21,102,220,12-11-2023,26-11-2023,27-11-2023,1
22,103,221,15-11-2023,29-11-2023,30-11-2023,1
23,104,202,18-11-2023,02-12-2023,,0
24,105,203,20-11-2023,04-12-2023,05-12-2023,1
25,106,204,22-11-2023,06-12-2023,07-12-2023,1
26,101,205,25-11-2023,09-12-2023,10-12-2023,1
27,102,206,28-11-2023,12-12-2023,,0
28,103,207,01-12-2023,15-12-2023,,0
29,104,208,03-12-2023,17-12-2023,,0
30,105,209,06-12-2023,20-12-2023,,0
,,,,,,
,,,,,,
,,,,,,
